SurveyCode,Year,Survey,SurveyRep,Date,Station,TimeStart,TowDuration,Index,Region,RegionFlaSH,Depth,ECSurfacePreTow,ECBottomPreTow,TempSurf,Secchi,Chl-a,TotalMeter,Volume,Acanthomysis aspera ,Acanthomysis hwanhaiensis,Alienacanthomysis macropsis,Deltamysis holmquistae,Hyperacanthomysis longirostris,Neomysis kadiakensis,Neomysis mercedis,Unidentified mysid
19720101,1972,1,1,1/11/1972,NZ074,,10.0,1,SJR,Other,,236,,6.3,59,,2510,47.44,0,0,0,0,0,0,5.257279489,0
19720101,1972,1,1,1/11/1972,NZ076,,10.0,0,SJR,Other,,245,,6.6,58,,1840,34.78,0,0,0,0,0,0,7.489889591,0
19720101,1972,1,1,1/10/1972,NZ078,,10.0,0,SJR,Other,,242,,6.6,62,,2230,42.15,0,0,0,0,0,0,2.705735454,0
19720101,1972,1,1,1/10/1972,NZ080,,10.0,1,SJR,Other,,228,,6.0,62,,2270,42.90,0,0,0,0,0,0,3.065775596,0
19720101,1972,1,1,1/10/1972,NZ082,,10.0,0,SJR,Other,,236,,6.0,60,,2220,41.96,0,0,0,0,0,0,4.627058993,0
19720101,1972,1,1,1/10/1972,NZ084,,10.0,0,SJR,Other,,226,,6.1,58,,2700,51.03,0,0,0,0,0,0,6.342293884,0
19720101,1972,1,1,1/10/1972,NZ086,,10.0,1,SJR,Other,,226,,6.0,60,,1530,28.92,0,0,0,0,0,0,4.133770802,0
19720101,1972,1,1,1/10/1972,NZ088,,10.0,0,SJR,Other,,385,,6.0,48,,2090,39.50,0,0,0,0,0,0,5.943069014,0
19720101,1972,1,1,1/10/1972,NZ090,,10.0,0,EastDel,Other,,484,,6.2,50,,2260,42.71,0,0,0,0,0,0,5.976635986,0
19720101,1972,1,1,1/10/1972,NZ092,,10.0,1,EastDel,Other,,463,,6.1,50,,1960,37.04,0,0,0,0,0,0,22.33108737,0
19720101,1972,1,1,1/10/1972,NZ098,,10.0,0,SoDel,Other,,539,,5.8,30,,2330,44.04,0,0,0,0,0,0,2.093360265,0
19720101,1972,1,1,1/11/1972,NZ104,,10.0,0,SJR,Other,,258,,5.8,60,,2150,40.64,0,0,0,0,0,0,5.056750792,0
19720101,1972,1,1,1/11/1972,NZD11,,10.0,0,WestDel,Other,,198,,6.3,65,,2300,43.47,0,0,0,0,0,0,0,0
19720101,1972,1,1,1/10/1972,NZD14,,10.0,0,SJR,Other,,246,,6.1,60,,1950,36.86,0,0,0,0,0,0,0,0
19720101,1972,1,1,1/10/1972,NZD15,,10.0,0,SJR,Other,,224,,6.0,60,,2330,44.04,0,0,0,0,0,0,1.772218436,0
19720101,1972,1,1,1/11/1972,NZD19,,10.0,0,SoDel,Other,,266,,5.8,61,,2120,40.07,0,0,0,0,0,0,0,0
19720101,1972,1,1,1/10/1972,NZD28,,10.0,1,SoDel,Other,,469,,5.8,40,,2141,40.46,0,0,0,0,0,0,6.572129298,0
19720201,1972,2,1,2/10/1972,NZ020,,10.0,0,SuiBay,Other,,11440,,8.1,60,,2930,55.38,0,0,0,0,0,0,0.373495387,0
19720201,1972,2,1,2/10/1972,NZ022,,10.0,0,SuiBay,Other,,12980,,8.2,60,,3020,57.08,0,0,0,0,0,0,0.566164134,0
19720201,1972,2,1,2/10/1972,NZ024,,10.0,0,SuiBay,Other,,8800,,8.2,55,,2860,54.05,0,0,0,0,0,0,0.027424265,0
19720201,1972,2,1,2/10/1972,NZ028,,10.0,1,SuiBay,Other,,3960,,8.3,44,,2300,43.47,0,0,0,0,0,0,0.940854799,0
19720201,1972,2,1,2/10/1972,NZ030,,10.0,0,SuiBay,Other,,5775,,8.7,50,,2840,53.68,0,0,0,0,0,0,0.099400181,0
19720201,1972,2,1,2/10/1972,NZ032,,10.0,1,SuiMar,Other,,2200,,8.6,21,,3000,56.70,0,0,0,0,0,0,3.900808099,0
19720201,1972,2,1,2/14/1972,NZ033,,10.0,0,SuiMar,Other,,1980,,9.7,18,,2380,44.98,0,0,0,0,0,0,5.825499235,0
19720201,1972,2,1,2/14/1972,NZ034,,10.0,0,SuiMar,Other,,201,,9.2,38,,2755,52.07,0,0,0,0,0,0,1.084195969,0
19720201,1972,2,1,2/14/1972,NZ036,,10.0,0,SuiBay,Other,,1320,,8.3,40,,2700,51.03,0,0,0,0,0,0,0.526636547,0
19720201,1972,2,1,2/14/1972,NZ038,,10.0,0,SuiBay,Other,,935,,8.3,46,,3090,58.40,0,0,0,0,0,0,2.44330752,0
19720201,1972,2,1,2/14/1972,NZ040,,10.0,0,SuiBay,Other,,506,,8.4,44,,2150,40.64,0,0,0,0,0,0,1.616898464,0
19720201,1972,2,1,2/11/1972,NZ042,,10.0,1,SuiBay,Other,,11990,,8.6,60,,2880,54.43,0,0,0,0,0,0,0.792123254,0
19720201,1972,2,1,2/11/1972,NZ044,,10.0,0,SuiBay,Other,,9240,,8.3,60,,2880,54.43,0,0,0,0,0,0,2.49046557,0
19720201,1972,2,1,2/11/1972,NZ046,,10.0,0,SuiBay,Other,,5500,,8.3,58,,2400,45.36,0,0,0,0,0,0,0.105274471,0
19720201,1972,2,1,2/11/1972,NZ048,,10.0,1,SuiBay,Other,,4510,,8.2,58,,2320,43.85,0,0,0,0,0,0,1.2087677,0
19720201,1972,2,1,2/14/1972,NZ050,,10.0,0,SuiBay,Other,,4510,,8.7,40,,2480,46.87,0,0,0,0,0,0,3.417322024,0
19720201,1972,2,1,2/14/1972,NZ052,,10.0,0,SuiBay,Other,,336,,8.6,50,,1620,30.62,0,0,0,0,0,0,12.00652514,0
19720201,1972,2,1,2/14/1972,NZ054,,10.0,1,SuiBay,Other,,352,,9.0,44,,1550,29.30,0,0,0,0,0,0,7.956016546,0
19720201,1972,2,1,2/14/1972,NZ056,,10.0,0,WestDel,Other,,314,,8.6,44,,1120,21.17,0,0,0,0,0,0,3.221655199,0
19720201,1972,2,1,2/14/1972,NZ058,,10.0,0,WestDel,Other,,280,,9.2,45,,2490,47.06,0,0,0,0,0,0,3.404938042,0
19720201,1972,2,1,2/9/1972,NZ060,,10.0,1,WestDel,Other,,275,,8.0,50,,2570,48.57,0,0,0,0,0,0,2.840725939,0
19720201,1972,2,1,2/9/1972,NZ062,,10.0,0,WestDel,Other,,164,,7.6,50,,2490,47.06,0,0,0,0,0,0,2.947582716,0
19720201,1972,2,1,2/9/1972,NZ064,,10.0,1,SacR,Other,,164,,7.6,56,,2585,48.86,0,0,0,0,0,0,1.668476528,0
19720201,1972,2,1,2/14/1972,NZ066,,10.0,0,SacR,Other,,164,,7.8,52,,2480,46.87,0,0,0,0,0,0,4.524595862,0
19720201,1972,2,1,2/9/1972,NZ068,,10.0,0,SacR,Other,,158,,8.1,54,,2660,50.27,0,0,0,0,0,0,1.699893814,0
19720201,1972,2,1,2/14/1972,NZ072,,10.0,0,SJR,Other,,336,,9.2,46,,960,18.14,0,0,0,0,0,0,8.282584096,0
19720201,1972,2,1,2/14/1972,NZ074,,10.0,1,SJR,Other,,248,,9.4,48,,970,18.33,0,0,0,0,0,0,11.25978283,0
19720201,1972,2,1,2/9/1972,NZ076,,10.0,0,SJR,Other,,231,,8.1,48,,2790,52.73,0,0,0,0,0,0,2.172288421,0
19720201,1972,2,1,2/8/1972,NZ078,,10.0,0,SJR,Other,,209,,7.2,48,,2880,54.43,0,0,0,0,0,0,4.100658979,0
19720201,1972,2,1,2/9/1972,NZ080,,10.0,1,SJR,Other,,198,,7.2,49,,2660,50.27,0,0,0,0,0,0,1.628297859,0
19720201,1972,2,1,2/8/1972,NZ082,,10.0,0,SJR,Other,,190,,6.9,51,,3155,59.63,0,0,0,0,0,0,1.358706687,0
19720201,1972,2,1,2/8/1972,NZ084,,10.0,0,SJR,Other,,188,,7.0,50,,2460,46.49,0,0,0,0,0,0,3.785715199,0
19720201,1972,2,1,2/8/1972,NZ086,,10.0,1,SJR,Other,,196,,10.1,51,,2240,42.34,0,0,0,0,0,0,0.959433658,0
19720201,1972,2,1,2/8/1972,NZ088,,10.0,0,SJR,Other,,341,,10.3,46,,2845,53.77,0,0,0,0,0,0,1.696314042,0
19720201,1972,2,1,2/8/1972,NZ090,,10.0,0,EastDel,Other,,626,,10.7,47,,2640,49.90,0,0,0,0,0,0,1.018044204,0
19720201,1972,2,1,2/8/1972,NZ092,,10.0,1,EastDel,Other,,600,,11.7,32,,2655,50.18,0,0,0,0,0,0,3.44788084,0
19720201,1972,2,1,2/8/1972,NZ098,,10.0,0,SoDel,Other,,540,,11.4,38,,2368,44.76,0,0,0,0,0,0,2.00918928,0
19720201,1972,2,1,2/9/1972,NZ104,,10.0,0,SJR,Other,,220,,7.6,46,,2830,53.49,0,0,0,0,0,0,2.815137658,0
19720201,1972,2,1,2/9/1972,NZD11,,10.0,0,WestDel,Other,,220,,8.9,48,,2675,50.56,0,0,0,0,0,0,0.216838144,0
19720201,1972,2,1,2/9/1972,NZD14,,10.0,0,SJR,Other,,242,,8.3,47,,2930,55.38,0,0,0,0,0,0,0.748107713,0
19720201,1972,2,1,2/9/1972,NZD15,,10.0,0,SJR,Other,,200,,7.2,47,,3055,57.74,0,0,0,0,0,0,0.783970885,0
19720201,1972,2,1,2/9/1972,NZD19,,10.0,0,SoDel,Other,,258,,10.7,45,,3245,61.33,0,0,0,0,0,0,0.035332547,0
19720201,1972,2,1,2/8/1972,NZD28,,10.0,1,SoDel,Other,,385,,11.4,39,,2660,50.27,0,0,0,0,0,0,3.52457956,0
19720301,1972,3,1,3/13/1972,NZ020,,10.0,0,SuiBay,Other,,10296,,14.9,36,,3970,75.03,0,0,0,0,0,0,0.983929814,0
19720301,1972,3,1,3/13/1972,NZ022,,10.0,0,SuiBay,Other,,6213,,15.0,25,,3970,75.03,0,0,0,0,0,0,2.798745543,0
19720301,1972,3,1,3/13/1972,NZ024,,10.0,0,SuiBay,Other,,5382,,15.0,23,,3150,59.54,0,0,0,0,0,0,3.955554388,0
19720301,1972,3,1,3/13/1972,NZ028,,10.0,1,SuiBay,Other,,2387,,15.0,23,,3590,67.85,0,0,0,0,0,0,1.053375689,0
19720301,1972,3,1,3/13/1972,NZ030,,10.0,0,SuiBay,Other,,2068,,15.0,19,,3320,62.75,0,0,0,0,0,0,12.86990045,0
19720301,1972,3,1,3/13/1972,NZ032,,10.0,1,SuiMar,Other,,1616,,15.6,16,,3830,72.39,0,0,0,0,0,0,9.647897885,0
19720301,1972,3,1,3/14/1972,NZ033,,10.0,0,SuiMar,Other,,1752,,16.6,17,,3580,67.66,0,0,0,0,0,0,14.23399426,0
19720301,1972,3,1,3/14/1972,NZ034,,10.0,0,SuiMar,Other,,252,,15.0,21,,3630,68.61,0,0,0,0,0,0,4.563603729,0
19720301,1972,3,1,3/13/1972,NZ036,,10.0,0,SuiBay,Other,,1518,,15.2,20,,2950,55.76,0,0,0,0,0,0,1.115034196,0
19720301,1972,3,1,3/13/1972,NZ038,,10.0,0,SuiBay,Other,,1276,,15.1,22,,3380,63.88,0,0,0,0,0,0,1.781152177,0
19720301,1972,3,1,3/13/1972,NZ040,,10.0,0,SuiBay,Other,,518,,14.8,22,,3380,63.88,0,0,0,0,0,0,1.221776215,0
19720301,1972,3,1,3/14/1972,NZ042,,10.0,1,SuiBay,Other,,5674,,15.3,30,,4340,82.03,0,0,0,0,0,0,2.255268258,0
19720301,1972,3,1,3/14/1972,NZ044,,10.0,0,SuiBay,Other,,3861,,15.0,22,,3860,72.95,0,0,0,0,0,0,4.447768456,0
19720301,1972,3,1,3/14/1972,NZ046,,10.0,0,SuiBay,Other,,2574,,15.0,23,,3240,61.24,0,0,0,0,0,0,6.976760476,0
19720301,1972,3,1,3/14/1972,NZ048,,10.0,1,SuiBay,Other,,1872,,14.8,22,,3560,67.28,0,0,0,0,0,0,1.890139766,0
19720301,1972,3,1,3/14/1972,NZ050,,10.0,0,SuiBay,Other,,1046,,14.6,23,,2940,55.57,0,0,0,0,0,0,6.337317433,0
19720301,1972,3,1,3/14/1972,NZ052,,10.0,0,SuiBay,Other,,322,,15.1,25,,3450,65.21,0,0,0,0,0,0,19.97297493,0
19720301,1972,3,1,3/14/1972,NZ054,,10.0,1,SuiBay,Other,,259,,14.7,23,,3140,59.35,0,0,0,0,0,0,8.022475492,0
19720301,1972,3,1,3/14/1972,NZ056,,10.0,0,WestDel,Other,,276,,14.8,23,,2980,56.32,0,0,0,0,0,0,4.508480902,0
19720301,1972,3,1,3/14/1972,NZ058,,10.0,0,WestDel,Other,,184,,14.9,23,,3590,67.85,0,0,0,0,0,0,4.590897983,0
19720301,1972,3,1,3/10/1972,NZ060,,10.0,1,WestDel,Other,,161,,15.5,27,,3440,65.02,0,0,0,0,0,0,1.10949505,0
19720301,1972,3,1,3/10/1972,NZ062,,10.0,0,WestDel,Other,,140,,13.3,26,,3057,57.78,0,0,0,0,0,0,1.65387646,0
19720301,1972,3,1,3/10/1972,NZ064,,10.0,1,SacR,Other,,117,,13.6,23,,3810,72.01,0,0,0,0,0,0,0.003742932,0
19720301,1972,3,1,3/10/1972,NZ066,,10.0,0,SacR,Other,,125,,14.5,29,,3660,69.17,0,0,0,0,0,0,0,0
19720301,1972,3,1,3/10/1972,NZ068,,10.0,0,SacR,Other,,122,,13.0,24,,3670,69.36,0,0,0,0,0,0,0,0
19720301,1972,3,1,3/10/1972,NZ072,,10.0,0,SJR,Other,,154,,14.7,26,,1730,32.70,0,0,0,0,0,0,5.520944504,0
19720301,1972,3,1,3/10/1972,NZ074,,10.0,1,SJR,Other,,179,,15.2,37,,3440,65.02,0,0,0,0,0,0,1.885087104,0
19720301,1972,3,1,3/10/1972,NZ076,,10.0,0,SJR,Other,,186,,14.6,37,,1700,32.13,0,0,0,0,0,0,0.911216076,0
19720301,1972,3,1,3/9/1972,NZ078,,10.0,0,SJR,Other,,204,,15.0,48,,3520,66.53,0,0,0,0,0,0,0.739104993,0
19720301,1972,3,1,3/9/1972,NZ080,,10.0,1,SJR,Other,,192,,14.6,50,,3755,70.97,0,0,0,0,0,0,0.118734564,0
19720301,1972,3,1,3/9/1972,NZ082,,10.0,0,SJR,Other,,166,,14.3,44,,3425,64.73,0,0,0,0,0,0,0.30653764,0
19720301,1972,3,1,3/9/1972,NZ084,,10.0,0,SJR,Other,,159,,13.7,42,,3690,69.74,0,0,0,0,0,0,0.018796687,0
19720301,1972,3,1,3/9/1972,NZ086,,10.0,1,SJR,Other,,143,,13.7,42,,4090,77.30,0,0,0,0,0,0,0.315794058,0
19720301,1972,3,1,3/9/1972,NZ088,,10.0,0,SJR,Other,,154,,14.3,40,,3440,65.02,0,0,0,0,0,0,0.116008764,0
19720301,1972,3,1,3/9/1972,NZ090,,10.0,0,EastDel,Other,,227,,15.1,40,,3960,74.84,0,0,0,0,0,0,2.04058921,0
19720301,1972,3,1,3/9/1972,NZ092,,10.0,1,EastDel,Other,,565,,16.3,46,,3850,72.77,0,0,0,0,0,0,0.248980617,0
19720301,1972,3,1,3/9/1972,NZ098,,10.0,0,SoDel,Other,,253,,15.0,40,,3830,72.39,0,0,0,0,0,0,0.529105835,0
19720301,1972,3,1,3/9/1972,NZ104,,10.0,0,SJR,Other,,179,,14.9,40,,3375,63.79,0,0,0,0,0,0,0.168634827,0
19720301,1972,3,1,3/10/1972,NZD11,,10.0,0,WestDel,Other,,155,,16.3,26,,3440,65.02,0,0,0,0,0,0,1.277599619,0
19720301,1972,3,1,3/10/1972,NZD14,,10.0,0,SJR,Other,,200,,15.0,42,,2620,49.52,0,0,0,0,0,0,0,0
19720301,1972,3,1,3/9/1972,NZD15,,10.0,0,SJR,Other,,203,,14.9,50,,3560,67.28,0,0,0,0,0,0,0.281856108,0
19720301,1972,3,1,3/9/1972,NZD19,,10.0,0,SoDel,Other,,177,,15.0,42,,3920,74.09,0,0,0,0,0,0,0.003637901,0
19720301,1972,3,1,3/9/1972,NZD28,,10.0,1,SoDel,Other,,189,,14.9,34,,3320,62.75,0,0,0,0,0,0,2.062330095,0
19720401,1972,4,1,4/10/1972,NZ020,,10.0,0,SuiBay,Other,,14322,,15.0,36,,2960,55.94,0,0,0,0,0,0,7.207823383,0
19720401,1972,4,1,4/10/1972,NZ022,,10.0,0,SuiBay,Other,,14300,,14.8,34,,2560,48.38,0,0,0,0,0,0,11.1254638,0
19720401,1972,4,1,4/10/1972,NZ024,,10.0,0,SuiBay,Other,,10780,,15.4,28,,2930,55.38,0,0,0,0,0,0,6.066996307,0
19720401,1972,4,1,4/10/1972,NZ028,,10.0,1,SuiBay,Other,,6842,,15.3,21,,2740,51.79,0,0,0,0,0,0,3.688216948,0
19720401,1972,4,1,4/10/1972,NZ030,,10.0,0,SuiBay,Other,,8140,,15.3,25,,2660,50.27,0,0,0,0,0,0,6.668760669,0
19720401,1972,4,1,4/10/1972,NZ032,,10.0,1,SuiMar,Other,,5412,,15.5,18,,3120,58.97,0,0,0,0,0,0,10.27519169,0
19720401,1972,4,1,4/11/1972,NZ033,,10.0,0,SuiMar,Other,,3301,,15.7,14,,3280,61.99,0,0,0,0,0,0,14.6723519,0
19720401,1972,4,1,4/11/1972,NZ034,,10.0,0,SuiMar,Other,,2256,,15.1,19,,2050,38.75,0,0,0,0,0,0,14.36401042,0
19720401,1972,4,1,4/10/1972,NZ036,,10.0,0,SuiBay,Other,,5698,,14.7,23,,3250,61.43,0,0,0,0,0,0,5.602317172,0
19720401,1972,4,1,4/10/1972,NZ038,,10.0,0,SuiBay,Other,,6402,,15.5,26,,3070,58.02,0,0,0,0,0,0,8.075349722,0
19720401,1972,4,1,4/10/1972,NZ040,,10.0,0,SuiBay,Other,,3652,,15.6,27,,2650,50.09,0,0,0,0,0,0,23.56063099,0
19720401,1972,4,1,4/11/1972,NZ042,,10.0,1,SuiBay,Other,,14322,,14.9,22,,3240,61.24,0,0,0,0,0,0,1.984362136,0
19720401,1972,4,1,4/11/1972,NZ044,,10.0,0,SuiBay,Other,,13398,,14.9,22,,3240,61.24,0,0,0,0,0,0,12.17295497,0
19720401,1972,4,1,4/11/1972,NZ046,,10.0,0,SuiBay,Other,,11825,,14.9,23,,3980,75.22,0,0,0,0,0,0,5.10595747,0
19720401,1972,4,1,4/11/1972,NZ048,,10.0,1,SuiBay,Other,,6182,,15.2,21,,3270,61.80,0,0,0,0,0,0,4.258357933,0
19720401,1972,4,1,4/11/1972,NZ050,,10.0,0,SuiBay,Other,,4114,,15.2,24,,3340,63.13,0,0,0,0,0,0,6.584719251,0
19720401,1972,4,1,4/11/1972,NZ052,,10.0,0,SuiBay,Other,,4054,,15.0,19,,3300,62.37,0,0,0,0,0,0,18.78201248,0
19720401,1972,4,1,4/11/1972,NZ054,,10.0,1,SuiBay,Other,,4488,,15.0,24,,3360,63.50,0,0,0,0,0,0,3.452414301,0
19720401,1972,4,1,4/11/1972,NZ056,,10.0,0,WestDel,Other,,3234,,15.0,20,,2860,54.05,0,0,0,0,0,0,24.85495837,0
19720401,1972,4,1,4/11/1972,NZ058,,10.0,0,WestDel,Other,,2662,,15.2,23,,3210,60.67,0,0,0,0,0,0,14.2031872,0
19720401,1972,4,1,4/7/1972,NZ060,,10.0,1,WestDel,Other,,1190,,15.3,34,,3950,74.66,0,0,0,0,0,0,27.95973802,0
19720401,1972,4,1,4/7/1972,NZ062,,10.0,0,WestDel,Other,,847,,15.2,36,,3650,68.99,0,0,0,0,0,0,28.16341658,0
19720401,1972,4,1,4/7/1972,NZ064,,10.0,1,SacR,Other,,237,,14.9,36,,2775,52.45,0,0,0,0,0,0,16.77091967,0
19720401,1972,4,1,4/7/1972,NZ066,,10.0,0,SacR,Other,,153,,15.0,48,,2880,54.43,0,0,0,0,0,0,2.529162544,0
19720401,1972,4,1,4/7/1972,NZ068,,10.0,0,SacR,Other,,152,,15.1,47,,3060,57.83,0,0,0,0,0,0,2.169235823,0
19720401,1972,4,1,4/7/1972,NZ072,,10.0,0,SJR,Other,,1082,,15.4,32,,3760,71.06,0,0,0,0,0,0,32.20834113,0
19720401,1972,4,1,4/7/1972,NZ074,,10.0,1,SJR,Other,,858,,15.7,37,,3400,64.26,0,0,0,0,0,0,34.72829762,0
19720401,1972,4,1,4/7/1972,NZ076,,10.0,0,SJR,Other,,583,,15.8,36,,2245,42.43,0,0,0,0,0,0,20.01742971,0
19720401,1972,4,1,4/6/1972,NZ078,,10.0,0,SJR,Other,,299,,15.8,44,,3035,57.36,0,0,0,0,0,0,4.161385562,0
19720401,1972,4,1,4/6/1972,NZ080,,10.0,1,SJR,Other,,272,,15.6,50,,3585,67.76,0,0,0,0,0,0,10.48204316,0
19720401,1972,4,1,4/6/1972,NZ082,,10.0,0,SJR,Other,,222,,15.2,46,,4100,77.49,0,0,0,0,0,0,5.077921624,0
19720401,1972,4,1,4/6/1972,NZ084,,10.0,0,SJR,Other,,161,,14.8,41,,3270,61.80,0,0,0,0,0,0,11.34670939,0
19720401,1972,4,1,4/6/1972,NZ086,,10.0,1,SJR,Other,,150,,14.8,55,,3090,58.40,0,0,0,0,0,0,1.045092576,0
19720401,1972,4,1,4/6/1972,NZ088,,10.0,0,SJR,Other,,167,,15.0,37,,3740,70.69,0,0,0,0,0,0,2.019104315,0
19720401,1972,4,1,4/6/1972,NZ090,,10.0,0,EastDel,Other,,286,,16.1,38,,3010,56.89,0,0,0,0,0,0,10.2066551,0
19720401,1972,4,1,4/6/1972,NZ092,,10.0,1,EastDel,Other,,561,,17.2,31,,3610,68.23,0,0,0,0,0,0,17.92869537,0
19720401,1972,4,1,4/6/1972,NZ098,,10.0,0,SoDel,Other,,185,,15.6,34,,2500,47.25,0,0,0,0,0,0,1.25427149,0
19720401,1972,4,1,4/6/1972,NZ104,,10.0,0,SJR,Other,,234,,15.6,52,,3780,71.44,0,0,0,0,0,0,7.773948663,0
19720401,1972,4,1,4/7/1972,NZD11,,10.0,0,WestDel,Other,,572,,15.7,34,,2690,50.84,0,0,0,0,0,0,4.360999645,0
19720401,1972,4,1,4/7/1972,NZD14,,10.0,0,SJR,Other,,246,,15.1,50,,2910,55.00,0,0,0,0,0,0,0.182411194,0
19720401,1972,4,1,4/6/1972,NZD15,,10.0,0,SJR,Other,,277,,15.7,52,,3075,58.12,0,0,0,0,0,0,1.919388429,0
19720401,1972,4,1,4/6/1972,NZD19,,10.0,0,SoDel,Other,,169,,15.2,42,,4280,80.89,0,0,0,0,0,0,0.09785673,0
19720401,1972,4,1,4/6/1972,NZD28,,10.0,1,SoDel,Other,,235,,17.8,38,,2685,50.75,0,0,0,0,0,0,1.382429039,0
19720402,1972,4,2,4/21/1972,NZ020,,10.0,0,SuiBay,Other,,14322,,14.3,39,,3660,69.17,0,0,0,0,0,0,5.924226082,0
19720402,1972,4,2,4/21/1972,NZ022,,10.0,0,SuiBay,Other,,14300,,14.3,38,,3480,65.77,0,0,0,0,0,0,1.779999539,0
19720402,1972,4,2,4/21/1972,NZ024,,10.0,0,SuiBay,Other,,10780,,14.7,37,,3220,60.86,0,0,0,0,0,0,5.684889159,0
19720402,1972,4,2,4/21/1972,NZ028,,10.0,1,SuiBay,Other,,6842,,14.7,20,,3180,60.10,0,0,0,0,0,0,0.893557353,0
19720402,1972,4,2,4/21/1972,NZ030,,10.0,0,SuiBay,Other,,8140,,14.8,22,,3680,69.55,0,0,0,0,0,0,0.324098146,0
