"region","qyear","quarter","chla"
"dt","2010","Q4",2.26757575757576
"dt","2011","Q1",1.62181818181818
"dt","2011","Q2",3.37030303030303
"dt","2011","Q3",3.97393939393939
"dt","2011","Q4",4.0034375
"dt","2012","Q1",2.27
"dt","2012","Q2",5.46393939393939
"dt","2012","Q3",9.91333333333333
"dt","2012","Q4",6.2271875
"dt","2013","Q1",2.07424242424242
"dt","2013","Q2",10.3806060606061
"dt","2013","Q3",12.1184848484848
"dt","2013","Q4",3.89606060606061
"dt","2014","Q1",2.24212121212121
"dt","2014","Q2",5.25333333333333
"dt","2014","Q3",4.2809375
"dt","2014","Q4",3.73969696969697
"dt","2015","Q1",1.89393939393939
"dt","2015","Q2",5.72818181818182
"dt","2015","Q3",5.93575757575758
"dt","2015","Q4",2.42757575757576
"dt","2016","Q1",3.51575757575758
"dt","2016","Q2",18.1139393939394
"dt","2016","Q3",10.4242424242424
"dt","2016","Q4",2.52108108108108
"dt","2017","Q1",1.99871794871795
"dt","2017","Q2",3.00625
"dt","2017","Q3",7.70128205128205
"dt","2017","Q4",2.67589743589744
"dt","2018","Q1",1.515
"spl","1976","Q2",4.965
"spl","1976","Q3",1.36090909090909
"spl","1976","Q4",1.174
"spl","1977","Q1",1.945
"spl","1977","Q2",3.38333333333333
"spl","1977","Q3",1.32
"spl","1977","Q4",1.529
"spl","1978","Q1",1.45833333333333
"spl","1978","Q2",8.47666666666667
"spl","1978","Q3",5.01166666666667
"spl","1978","Q4",2.685
"spl","1979","Q1",5.61333333333333
"spl","1979","Q2",3.963
"spl","1979","Q3",2.698
"spl","1979","Q4",1.20428571428571
"spl","1980","Q1",2.63
"spl","1980","Q2",5.92333333333333
"spl","1980","Q3",4.47
"spl","1980","Q4",3.9875
"spl","1981","Q1",1.49
"spl","1981","Q2",3.865
"spl","1981","Q3",1.2025
"spl","1981","Q4",1.64
"spl","1982","Q1",1.93
"spl","1982","Q2",2.83333333333333
"spl","1982","Q3",8.95166666666667
"spl","1982","Q4",3.986
"spl","1983","Q1",1.08
"spl","1983","Q2",1.80333333333333
"spl","1983","Q3",4.94333333333333
"spl","1983","Q4",5.40333333333333
"spl","1984","Q1",1.23666666666667
"spl","1984","Q2",3.24333333333333
"spl","1984","Q3",6.968
"spl","1984","Q4",5.79
"spl","1985","Q1",5.97
"spl","1985","Q2",3.672
"spl","1985","Q3",2.93
"spl","1985","Q4",1.93
"spl","1986","Q1",1.59333333333333
"spl","1986","Q2",7.255
"spl","1986","Q3",8.105
"spl","1986","Q4",5.405
"spl","1987","Q1",2.21333333333333
"spl","1987","Q2",3.0475
"spl","1987","Q3",2.47
"spl","1987","Q4",1.7775
"spl","1988","Q1",0.77
"spl","1988","Q2",4.18
"spl","1988","Q3",2.382
"spl","1988","Q4",1.678
"spl","1989","Q1",2.57333333333333
"spl","1989","Q3",2.24
"spl","1989","Q4",3.766
"spl","1990","Q1",0.62
"spl","1990","Q2",2.114
"spl","1990","Q3",3.954
"spl","1990","Q4",5.5275
"spl","1991","Q1",5.08
"spl","1991","Q2",4.34333333333333
"spl","1991","Q3",2.8125
"spl","1991","Q4",3.336
"spl","1992","Q1",2.28
"spl","1992","Q2",4.47333333333333
"spl","1992","Q3",1.96166666666667
"spl","1992","Q4",2.6225
"spl","1993","Q1",1.37333333333333
"spl","1993","Q2",1.90666666666667
"spl","1993","Q3",4.22
"spl","1993","Q4",2.32
"spl","1994","Q1",1.00666666666667
"spl","1994","Q2",1.49
"spl","1994","Q3",1.87333333333333
"spl","1994","Q4",2.4525
"spl","1995","Q1",0.77
"spl","1995","Q2",3.49666666666667
"spl","1995","Q3",5.76
"spl","1995","Q4",2.88666666666667
"spl","1996","Q1",0.425
"spl","1996","Q3",4.75666666666667
"spl","1996","Q4",0.91
"spl","1997","Q1",0.555
"spl","1997","Q2",4.455
"spl","1997","Q3",1.99
"spl","1997","Q4",2.225
"spl","1998","Q3",1.94666666666667
"spl","1998","Q4",2.46333333333333
"spl","1999","Q1",1.5
"spl","1999","Q2",3.42
"spl","1999","Q3",1.5
"spl","1999","Q4",2.26
"spl","2000","Q1",1.96
"spl","2000","Q2",3.27666666666667
"spl","2000","Q3",1.87
"spl","2000","Q4",4.07666666666667
"spl","2001","Q1",1.88
"spl","2001","Q2",5.505
"spl","2001","Q3",2.41
"spl","2001","Q4",2.46
"spl","2002","Q1",2.07333333333333
"spl","2002","Q2",3.94
"spl","2002","Q3",2.50666666666667
"spl","2002","Q4",2.28333333333333
"spl","2003","Q1",2.58666666666667
"spl","2003","Q2",5.54333333333333
"spl","2003","Q3",3.73
"spl","2003","Q4",2.355
"spl","2004","Q1",1.86333333333333
"spl","2004","Q2",7.145
"spl","2004","Q3",1.63166666666667
"spl","2004","Q4",1.94166666666667
"spl","2005","Q1",0.693333333333333
"spl","2005","Q2",6.8025
"spl","2005","Q3",2.69
"spl","2005","Q4",3.53833333333333
"spl","2006","Q1",3.75375
"spl","2006","Q2",5.06222222222222
"spl","2006","Q3",6.04375
"spl","2006","Q4",2.02666666666667
"spl","2007","Q1",1.51833333333333
"spl","2007","Q2",6.79857142857143
"spl","2007","Q3",4.57666666666667
"spl","2007","Q4",3.45666666666667
"spl","2008","Q1",2.135
"spl","2008","Q2",3.26444444444444
"spl","2008","Q3",4.12
"spl","2008","Q4",5.11
"spl","2009","Q1",2.14
"spl","2009","Q2",14.4028571428571
"spl","2009","Q3",4.36833333333333
"spl","2009","Q4",2.59333333333333
"spl","2010","Q1",1.66285714285714
"spl","2010","Q2",2.71428571428571
"spl","2010","Q3",2.84
"spl","2010","Q4",2.36333333333333
"spl","2011","Q1",2.01142857142857
"spl","2011","Q2",5.97555555555556
"spl","2011","Q3",3.27428571428571
"spl","2011","Q4",3.64
"spl","2012","Q1",1.87333333333333
"spl","2012","Q2",2.68285714285714
"spl","2012","Q3",2.665
"spl","2012","Q4",2.43333333333333
"spl","2013","Q1",1.65
"spl","2013","Q2",4.31833333333333
"spl","2013","Q3",4.015
"spl","2013","Q4",2.23666666666667
"spl","2014","Q1",1.565
"spl","2014","Q2",2.978
"spl","2014","Q3",3.38166666666667
"spl","2014","Q4",2.14
"spl","2015","Q1",1.38
"spl","2015","Q2",2.87
"spl","2015","Q3",3.12333333333333
"spl","2015","Q4",1.65666666666667
"spl","2016","Q1",1.62333333333333
"spl","2016","Q2",2.46833333333333
"spl","2016","Q3",2.56833333333333
"spl","2016","Q4",1.62166666666667
"spl","2017","Q1",1.6825
"spl","2017","Q2",3.43888888888889
"spl","2017","Q3",3.38888888888889
"spl","2017","Q4",1.81333333333333
"spl","2018","Q1",1.54333333333333
"ss","1975","Q1",1.63583333333333
"ss","1975","Q2",7.94206896551724
"ss","1975","Q3",14.4542424242424
"ss","1975","Q4",7.9884
"ss","1976","Q1",8.221875
"ss","1976","Q2",17.420625
"ss","1976","Q3",8.41375
"ss","1976","Q4",3.86885714285714
"ss","1977","Q1",3.2455
"ss","1977","Q2",3.8447619047619
"ss","1977","Q3",4.34175
"ss","1977","Q4",3.25971428571429
"ss","1978","Q1",2.1347619047619
"ss","1978","Q2",5.5
"ss","1978","Q3",17.9269811320755
"ss","1978","Q4",20.1461904761905
"ss","1979","Q1",3.774
"ss","1979","Q2",9.71686274509804
"ss","1979","Q3",26.63625
"ss","1979","Q4",14.7927777777778
"ss","1980","Q1",2.02384615384615
"ss","1980","Q2",10.4476470588235
"ss","1980","Q3",23.04375
"ss","1980","Q4",17.9845833333333
"ss","1981","Q1",4.4
"ss","1981","Q2",10.8144444444444
"ss","1981","Q3",17.2781481481481
"ss","1981","Q4",10.641
"ss","1982","Q1",2.63923076923077
"ss","1982","Q2",4.49904761904762
"ss","1982","Q3",17.4108333333333
"ss","1982","Q4",15.2448387096774
"ss","1983","Q1",2.152
"ss","1983","Q2",3.898125
"ss","1983","Q3",6.31333333333333
"ss","1983","Q4",3.60823529411765
"ss","1984","Q1",1.78117647058824
"ss","1984","Q2",8.75352941176471
"ss","1984","Q3",10.541
"ss","1984","Q4",15.33
"ss","1985","Q1",1.78642857142857
"ss","1985","Q2",5.132
"ss","1985","Q3",8.90766666666667
"ss","1985","Q4",4.3535
"ss","1986","Q1",1.33866666666667
"ss","1986","Q2",5.55666666666667
"ss","1986","Q3",16.8979166666667
"ss","1986","Q4",7.333
"ss","1987","Q1",4.406
"ss","1987","Q2",3.7385
"ss","1987","Q3",3.38066666666667
"ss","1987","Q4",1.39772727272727
"ss","1988","Q1",1.18846153846154
"ss","1988","Q2",2.02666666666667
"ss","1988","Q3",1.83464285714286
"ss","1988","Q4",1.09608695652174
"ss","1989","Q1",1.1975
"ss","1989","Q2",1.5905
"ss","1989","Q3",2.22833333333333
"ss","1989","Q4",1.4092
"ss","1990","Q1",0.950769230769231
"ss","1990","Q2",1.3792
"ss","1990","Q3",1.73533333333333
"ss","1990","Q4",1.7955
"ss","1991","Q1",1.10461538461538
"ss","1991","Q2",1.35633333333333
"ss","1991","Q3",1.9024
"ss","1991","Q4",1.488
"ss","1992","Q1",0.869375
"ss","1992","Q2",2.80266666666667
"ss","1992","Q3",1.80566666666667
"ss","1992","Q4",1.2724
"ss","1993","Q1",0.645333333333333
"ss","1993","Q2",6.20933333333333
"ss","1993","Q3",4.658
"ss","1993","Q4",0.729333333333333
"ss","1994","Q1",0.765333333333333
"ss","1994","Q2",1.012
"ss","1994","Q3",1.386
"ss","1994","Q4",0.974
"ss","1995","Q1",0.547142857142857
"ss","1995","Q2",2.422
"ss","1995","Q3",2.334
"ss","1995","Q4",1.464
"ss","1996","Q1",0.6575
"ss","1996","Q2",1.84333333333333
"ss","1996","Q3",1.1625
"ss","1996","Q4",0.6825
"ss","1997","Q1",0.681428571428571
"ss","1997","Q2",1.46
"ss","1997","Q3",0.9725
"ss","1997","Q4",0.951818181818182
"ss","1998","Q2",3.006
"ss","1998","Q3",4.49608695652174
"ss","1998","Q4",3.36333333333333
"ss","1999","Q1",2.12173913043478
"ss","1999","Q2",5.17375
"ss","1999","Q3",3.91157894736842
"ss","1999","Q4",4.62863636363636
"ss","2000","Q1",1.79666666666667
"ss","2000","Q2",8.8392
"ss","2000","Q3",2.177
"ss","2000","Q4",2.60111111111111
"ss","2001","Q1",1.39666666666667
"ss","2001","Q2",1.44714285714286
"ss","2001","Q3",2.12944444444444
"ss","2001","Q4",1.64444444444444
"ss","2002","Q1",1.12809523809524
"ss","2002","Q2",4.65083333333333
"ss","2002","Q3",2.22277777777778
"ss","2002","Q4",1.92777777777778
"ss","2003","Q1",1.17761904761905
"ss","2003","Q2",3.45
"ss","2003","Q3",2.89761904761905
"ss","2003","Q4",1.96055555555556
"ss","2004","Q1",1.09809523809524
"ss","2004","Q2",3.02541666666667
"ss","2004","Q3",1.83777777777778
"ss","2004","Q4",1.24777777777778
"ss","2005","Q1",0.664705882352941
"ss","2005","Q2",2.835
"ss","2005","Q3",2.5545
"ss","2005","Q4",1.61444444444444
"ss","2006","Q1",2.06952380952381
"ss","2006","Q2",3.405
"ss","2006","Q3",2.9747619047619
"ss","2006","Q4",1.60666666666667
"ss","2007","Q1",1.55789473684211
"ss","2007","Q2",2.28388888888889
"ss","2007","Q3",1.90666666666667
"ss","2007","Q4",1.15
"ss","2008","Q1",1.57105263157895
"ss","2008","Q2",4.44166666666667
"ss","2008","Q3",3.726
"ss","2008","Q4",2.06818181818182
"ss","2009","Q1",1.19473684210526
"ss","2009","Q2",2.84894736842105
"ss","2009","Q3",2.24833333333333
"ss","2009","Q4",1.21166666666667
"ss","2010","Q1",1.136
"ss","2010","Q2",3.91772727272727
"ss","2010","Q3",2.7995
"ss","2010","Q4",2.26055555555556
"ss","2011","Q1",0.871052631578947
"ss","2011","Q2",4.685
"ss","2011","Q3",3.77045454545455
"ss","2011","Q4",1.935
"ss","2012","Q1",1.64555555555556
"ss","2012","Q2",3.55130434782609
"ss","2012","Q3",2.83
"ss","2012","Q4",1.91647058823529
"ss","2013","Q1",1.93764705882353
"ss","2013","Q2",4.57611111111111
"ss","2013","Q3",4.72388888888889
"ss","2013","Q4",1.565
"ss","2014","Q1",1.96611111111111
"ss","2014","Q2",3.24222222222222
"ss","2014","Q3",2.52888888888889
"ss","2014","Q4",1.68470588235294
"ss","2015","Q1",1.90421052631579
"ss","2015","Q2",3.06555555555556
"ss","2015","Q3",3.85111111111111
"ss","2015","Q4",1.85
"ss","2016","Q1",1.635
"ss","2016","Q2",5.45105263157895
"ss","2016","Q3",3.26222222222222
"ss","2016","Q4",1.74611111111111
"ss","2017","Q1",2.52772727272727
"ss","2017","Q2",5.44833333333333
"ss","2017","Q3",3.81727272727273
"ss","2017","Q4",1.85375
"ss","2018","Q1",0.99375
