"SampleDate","Station","TowNum","CountOfLength","Common Name","Catch","FishCode"
4/16/1996 0:00:00,504,1,194,"Longfin Smelt",194,2
4/16/1996 0:00:00,504,2,178,"Longfin Smelt",178,2
4/16/1996 0:00:00,504,3,501,"Longfin Smelt",501,2
4/17/1996 0:00:00,328,1,77,"Longfin Smelt",77,2
4/17/1996 0:00:00,328,2,112,"Longfin Smelt",112,2
4/17/1996 0:00:00,328,3,168,"Longfin Smelt",168,2
4/17/1996 0:00:00,329,1,105,"Longfin Smelt",106,2
4/17/1996 0:00:00,329,2,247,"Longfin Smelt",247,2
4/17/1996 0:00:00,329,3,213,"Longfin Smelt",213,2
4/17/1996 0:00:00,334,1,94,"Longfin Smelt",94,2
4/17/1996 0:00:00,334,2,108,"Longfin Smelt",108,2
4/17/1996 0:00:00,334,3,155,"Longfin Smelt",156,2
4/17/1996 0:00:00,335,1,76,"Longfin Smelt",76,2
4/17/1996 0:00:00,335,2,118,"Longfin Smelt",118,2
4/17/1996 0:00:00,335,3,138,"Longfin Smelt",138,2
4/17/1996 0:00:00,336,1,45,"Longfin Smelt",45,2
4/17/1996 0:00:00,336,2,144,"Longfin Smelt",144,2
4/17/1996 0:00:00,336,3,85,"Longfin Smelt",86,2
4/24/1996 0:00:00,902,1,3,"Longfin Smelt",3,2
4/26/1996 0:00:00,508,2,1,"Longfin Smelt",1,2
4/26/1996 0:00:00,508,3,1,"Longfin Smelt",1,2
4/26/1996 0:00:00,513,2,1,"Longfin Smelt",1,2
4/26/1996 0:00:00,513,3,3,"Longfin Smelt",3,2
4/27/1996 0:00:00,418,1,38,"Longfin Smelt",38,2
4/27/1996 0:00:00,418,2,16,"Longfin Smelt",16,2
4/27/1996 0:00:00,418,3,16,"Longfin Smelt",16,2
4/27/1996 0:00:00,602,1,205,"Longfin Smelt",205,2
4/27/1996 0:00:00,602,2,279,"Longfin Smelt",279,2
4/27/1996 0:00:00,602,3,349,"Longfin Smelt",349,2
4/27/1996 0:00:00,606,1,2,"Longfin Smelt",2,2
4/27/1996 0:00:00,606,2,5,"Longfin Smelt",5,2
4/27/1996 0:00:00,606,3,8,"Longfin Smelt",8,2
4/27/1996 0:00:00,609,1,1,"Longfin Smelt",1,2
4/28/1996 0:00:00,323,1,1,"Longfin Smelt",1,2
4/28/1996 0:00:00,405,1,2,"Longfin Smelt",2,2
4/28/1996 0:00:00,405,2,2,"Longfin Smelt",2,2
4/28/1996 0:00:00,405,3,1,"Longfin Smelt",1,2
4/28/1996 0:00:00,411,1,4,"Longfin Smelt",4,2
4/28/1996 0:00:00,411,2,7,"Longfin Smelt",7,2
4/28/1996 0:00:00,411,3,20,"Longfin Smelt",20,2
4/28/1996 0:00:00,501,1,22,"Longfin Smelt",22,2
4/28/1996 0:00:00,501,2,17,"Longfin Smelt",17,2
4/28/1996 0:00:00,501,3,18,"Longfin Smelt",18,2
4/28/1996 0:00:00,504,1,24,"Longfin Smelt",24,2
4/28/1996 0:00:00,504,2,33,"Longfin Smelt",33,2
4/29/1996 0:00:00,340,1,5,"Longfin Smelt",5,2
4/29/1996 0:00:00,340,2,7,"Longfin Smelt",7,2
4/29/1996 0:00:00,340,3,3,"Longfin Smelt",3,2
4/29/1996 0:00:00,341,1,1,"Longfin Smelt",1,2
4/29/1996 0:00:00,341,2,3,"Longfin Smelt",3,2
4/29/1996 0:00:00,341,3,3,"Longfin Smelt",3,2
4/29/1996 0:00:00,342,1,43,"Longfin Smelt",43,2
4/29/1996 0:00:00,342,2,34,"Longfin Smelt",35,2
4/29/1996 0:00:00,342,3,42,"Longfin Smelt",42,2
4/29/1996 0:00:00,343,1,31,"Longfin Smelt",31,2
4/29/1996 0:00:00,343,2,64,"Longfin Smelt",64,2
4/29/1996 0:00:00,343,3,75,"Longfin Smelt",75,2
4/29/1996 0:00:00,344,1,44,"Longfin Smelt",44,2
4/29/1996 0:00:00,344,2,128,"Longfin Smelt",128,2
4/29/1996 0:00:00,344,3,107,"Longfin Smelt",107,2
4/29/1996 0:00:00,345,1,104,"Longfin Smelt",104,2
4/29/1996 0:00:00,345,2,144,"Longfin Smelt",144,2
4/29/1996 0:00:00,345,3,286,"Longfin Smelt",286,2
4/29/1996 0:00:00,346,1,308,"Longfin Smelt",308,2
4/29/1996 0:00:00,346,2,382,"Longfin Smelt",383,2
4/29/1996 0:00:00,346,3,458,"Longfin Smelt",459,2
4/30/1996 0:00:00,918,1,63,"Longfin Smelt",63,2
4/30/1996 0:00:00,918,2,3,"Longfin Smelt",3,2
4/30/1996 0:00:00,918,3,1,"Longfin Smelt",1,2
5/11/1996 0:00:00,508,1,27,"Longfin Smelt",27,2
5/11/1996 0:00:00,508,2,71,"Longfin Smelt",71,2
5/11/1996 0:00:00,508,3,107,"Longfin Smelt",107,2
5/11/1996 0:00:00,513,1,9,"Longfin Smelt",9,2
5/11/1996 0:00:00,513,2,2,"Longfin Smelt",2,2
5/11/1996 0:00:00,513,3,1,"Longfin Smelt",1,2
5/11/1996 0:00:00,519,1,7,"Longfin Smelt",7,2
5/11/1996 0:00:00,519,2,11,"Longfin Smelt",11,2
5/11/1996 0:00:00,519,3,16,"Longfin Smelt",16,2
5/11/1996 0:00:00,520,1,17,"Longfin Smelt",17,2
5/11/1996 0:00:00,520,2,3,"Longfin Smelt",3,2
5/11/1996 0:00:00,520,3,1,"Longfin Smelt",1,2
5/12/1996 0:00:00,418,1,4,"Longfin Smelt",4,2
5/12/1996 0:00:00,418,2,3,"Longfin Smelt",3,2
5/12/1996 0:00:00,418,3,2,"Longfin Smelt",2,2
5/12/1996 0:00:00,602,1,125,"Longfin Smelt",125,2
5/12/1996 0:00:00,602,2,52,"Longfin Smelt",53,2
5/12/1996 0:00:00,602,3,65,"Longfin Smelt",65,2
5/12/1996 0:00:00,606,1,79,"Longfin Smelt",79,2
5/12/1996 0:00:00,606,2,70,"Longfin Smelt",70,2
5/12/1996 0:00:00,606,3,86,"Longfin Smelt",86,2
5/12/1996 0:00:00,609,1,2,"Longfin Smelt",2,2
5/12/1996 0:00:00,609,3,2,"Longfin Smelt",2,2
5/12/1996 0:00:00,610,1,1,"Longfin Smelt",1,2
5/12/1996 0:00:00,610,2,1,"Longfin Smelt",1,2
5/12/1996 0:00:00,610,3,1,"Longfin Smelt",1,2
5/13/1996 0:00:00,340,1,26,"Longfin Smelt",26,2
5/13/1996 0:00:00,340,2,12,"Longfin Smelt",12,2
5/13/1996 0:00:00,340,3,2,"Longfin Smelt",2,2
5/13/1996 0:00:00,341,1,16,"Longfin Smelt",16,2
5/13/1996 0:00:00,341,2,11,"Longfin Smelt",11,2
5/13/1996 0:00:00,341,3,11,"Longfin Smelt",12,2
5/13/1996 0:00:00,342,1,3,"Longfin Smelt",3,2
5/13/1996 0:00:00,342,2,1,"Longfin Smelt",1,2
5/13/1996 0:00:00,342,3,1,"Longfin Smelt",1,2
5/13/1996 0:00:00,343,1,5,"Longfin Smelt",5,2
5/13/1996 0:00:00,343,2,11,"Longfin Smelt",11,2
5/13/1996 0:00:00,343,3,14,"Longfin Smelt",14,2
5/13/1996 0:00:00,344,1,8,"Longfin Smelt",8,2
5/13/1996 0:00:00,344,2,10,"Longfin Smelt",10,2
5/13/1996 0:00:00,344,3,7,"Longfin Smelt",7,2
5/13/1996 0:00:00,345,1,7,"Longfin Smelt",7,2
5/13/1996 0:00:00,345,2,25,"Longfin Smelt",25,2
5/13/1996 0:00:00,345,3,32,"Longfin Smelt",32,2
5/13/1996 0:00:00,346,1,50,"Longfin Smelt",50,2
5/13/1996 0:00:00,346,2,87,"Longfin Smelt",87,2
5/13/1996 0:00:00,346,3,43,"Longfin Smelt",43,2
5/14/1996 0:00:00,323,1,16,"Longfin Smelt",16,2
5/14/1996 0:00:00,323,2,7,"Longfin Smelt",7,2
5/14/1996 0:00:00,323,3,4,"Longfin Smelt",4,2
5/14/1996 0:00:00,405,1,39,"Longfin Smelt",39,2
5/14/1996 0:00:00,405,2,55,"Longfin Smelt",56,2
5/14/1996 0:00:00,405,3,60,"Longfin Smelt",60,2
5/14/1996 0:00:00,411,1,56,"Longfin Smelt",56,2
5/14/1996 0:00:00,411,2,158,"Longfin Smelt",158,2
5/14/1996 0:00:00,411,3,63,"Longfin Smelt",63,2
5/14/1996 0:00:00,501,1,271,"Longfin Smelt",271,2
5/14/1996 0:00:00,501,2,54,"Longfin Smelt",54,2
5/14/1996 0:00:00,501,3,52,"Longfin Smelt",54,2
5/14/1996 0:00:00,504,1,224,"Longfin Smelt",224,2
5/14/1996 0:00:00,504,2,270,"Longfin Smelt",270,2
5/14/1996 0:00:00,504,3,369,"Longfin Smelt",369,2
5/24/1996 0:00:00,418,1,120,"Longfin Smelt",120,2
5/24/1996 0:00:00,418,2,198,"Longfin Smelt",198,2
5/24/1996 0:00:00,418,3,109,"Longfin Smelt",109,2
5/24/1996 0:00:00,602,1,2,"Longfin Smelt",2,2
5/24/1996 0:00:00,602,2,1,"Longfin Smelt",1,2
5/28/1996 0:00:00,340,1,7,"Longfin Smelt",7,2
5/28/1996 0:00:00,340,2,9,"Longfin Smelt",9,2
5/28/1996 0:00:00,340,3,14,"Longfin Smelt",14,2
5/28/1996 0:00:00,342,1,61,"Longfin Smelt",61,2
5/28/1996 0:00:00,342,2,52,"Longfin Smelt",52,2
5/28/1996 0:00:00,342,3,32,"Longfin Smelt",32,2
5/28/1996 0:00:00,343,1,75,"Longfin Smelt",75,2
5/28/1996 0:00:00,343,2,62,"Longfin Smelt",62,2
5/28/1996 0:00:00,343,3,17,"Longfin Smelt",17,2
5/28/1996 0:00:00,344,1,13,"Longfin Smelt",13,2
5/28/1996 0:00:00,344,2,27,"Longfin Smelt",27,2
5/28/1996 0:00:00,344,3,12,"Longfin Smelt",12,2
5/28/1996 0:00:00,345,1,13,"Longfin Smelt",13,2
5/28/1996 0:00:00,345,2,16,"Longfin Smelt",16,2
5/28/1996 0:00:00,345,3,23,"Longfin Smelt",23,2
5/28/1996 0:00:00,346,1,9,"Longfin Smelt",9,2
5/28/1996 0:00:00,346,2,10,"Longfin Smelt",12,2
5/28/1996 0:00:00,346,3,12,"Longfin Smelt",12,2
5/29/1996 0:00:00,323,1,7,"Longfin Smelt",7,2
5/29/1996 0:00:00,323,2,3,"Longfin Smelt",3,2
5/29/1996 0:00:00,323,3,17,"Longfin Smelt",17,2
5/29/1996 0:00:00,405,1,192,"Longfin Smelt",192,2
5/29/1996 0:00:00,405,2,142,"Longfin Smelt",142,2
5/29/1996 0:00:00,405,3,243,"Longfin Smelt",243,2
5/29/1996 0:00:00,411,1,60,"Longfin Smelt",60,2
5/29/1996 0:00:00,411,2,147,"Longfin Smelt",147,2
5/29/1996 0:00:00,411,3,170,"Longfin Smelt",170,2
5/29/1996 0:00:00,501,1,12,"Longfin Smelt",12,2
5/29/1996 0:00:00,501,2,15,"Longfin Smelt",15,2
5/29/1996 0:00:00,501,3,7,"Longfin Smelt",7,2
6/11/1996 0:00:00,418,1,46,"Longfin Smelt",46,2
6/11/1996 0:00:00,418,2,3,"Longfin Smelt",3,2
6/11/1996 0:00:00,418,3,5,"Longfin Smelt",5,2
6/11/1996 0:00:00,602,1,21,"Longfin Smelt",21,2
6/11/1996 0:00:00,602,2,8,"Longfin Smelt",8,2
6/11/1996 0:00:00,602,3,33,"Longfin Smelt",33,2
6/13/1996 0:00:00,340,1,6,"Longfin Smelt",6,2
6/13/1996 0:00:00,340,2,7,"Longfin Smelt",7,2
6/13/1996 0:00:00,340,3,1,"Longfin Smelt",1,2
6/13/1996 0:00:00,342,2,5,"Longfin Smelt",5,2
6/13/1996 0:00:00,342,3,6,"Longfin Smelt",6,2
6/13/1996 0:00:00,343,1,1,"Longfin Smelt",1,2
6/13/1996 0:00:00,343,2,1,"Longfin Smelt",1,2
6/13/1996 0:00:00,343,3,3,"Longfin Smelt",3,2
6/13/1996 0:00:00,344,1,1,"Longfin Smelt",1,2
6/13/1996 0:00:00,344,2,2,"Longfin Smelt",2,2
6/13/1996 0:00:00,344,3,1,"Longfin Smelt",1,2
6/13/1996 0:00:00,345,3,1,"Longfin Smelt",1,2
6/13/1996 0:00:00,346,1,1,"Longfin Smelt",1,2
6/13/1996 0:00:00,346,3,1,"Longfin Smelt",1,2
6/14/1996 0:00:00,405,1,4,"Longfin Smelt",6,2
6/14/1996 0:00:00,405,2,11,"Longfin Smelt",11,2
6/14/1996 0:00:00,405,3,15,"Longfin Smelt",15,2
6/14/1996 0:00:00,411,1,18,"Longfin Smelt",18,2
6/14/1996 0:00:00,411,2,35,"Longfin Smelt",35,2
6/14/1996 0:00:00,411,3,16,"Longfin Smelt",16,2
6/14/1996 0:00:00,519,1,4,"Longfin Smelt",4,2
6/26/1996 0:00:00,508,1,10,"Longfin Smelt",10,2
6/26/1996 0:00:00,508,2,24,"Longfin Smelt",24,2
6/26/1996 0:00:00,508,3,16,"Longfin Smelt",16,2
6/26/1996 0:00:00,513,1,14,"Longfin Smelt",19,2
6/26/1996 0:00:00,513,2,4,"Longfin Smelt",4,2
6/26/1996 0:00:00,513,3,4,"Longfin Smelt",4,2
6/26/1996 0:00:00,520,1,37,"Longfin Smelt",37,2
6/26/1996 0:00:00,520,2,30,"Longfin Smelt",30,2
6/26/1996 0:00:00,520,3,39,"Longfin Smelt",39,2
6/27/1996 0:00:00,418,1,12,"Longfin Smelt",12,2
6/27/1996 0:00:00,418,2,3,"Longfin Smelt",3,2
6/27/1996 0:00:00,418,3,4,"Longfin Smelt",5,2
6/27/1996 0:00:00,602,1,47,"Longfin Smelt",47,2
6/27/1996 0:00:00,602,2,28,"Longfin Smelt",28,2
6/27/1996 0:00:00,602,3,29,"Longfin Smelt",29,2
6/27/1996 0:00:00,606,1,1,"Longfin Smelt",1,2
6/27/1996 0:00:00,609,3,1,"Longfin Smelt",1,2
6/27/1996 0:00:00,610,3,2,"Longfin Smelt",2,2
6/28/1996 0:00:00,323,1,3,"Longfin Smelt",3,2
6/28/1996 0:00:00,323,2,3,"Longfin Smelt",3,2
6/28/1996 0:00:00,340,1,3,"Longfin Smelt",3,2
6/28/1996 0:00:00,340,2,4,"Longfin Smelt",4,2
6/28/1996 0:00:00,340,3,3,"Longfin Smelt",3,2
6/28/1996 0:00:00,342,1,11,"Longfin Smelt",11,2
6/28/1996 0:00:00,342,2,5,"Longfin Smelt",5,2
6/28/1996 0:00:00,342,3,2,"Longfin Smelt",2,2
6/28/1996 0:00:00,343,1,2,"Longfin Smelt",2,2
6/28/1996 0:00:00,343,2,1,"Longfin Smelt",1,2
6/29/1996 0:00:00,405,1,67,"Longfin Smelt",67,2
6/29/1996 0:00:00,405,2,71,"Longfin Smelt",72,2
6/29/1996 0:00:00,405,3,57,"Longfin Smelt",57,2
6/29/1996 0:00:00,411,1,8,"Longfin Smelt",8,2
6/29/1996 0:00:00,411,2,9,"Longfin Smelt",9,2
6/29/1996 0:00:00,411,3,3,"Longfin Smelt",3,2
6/29/1996 0:00:00,504,1,8,"Longfin Smelt",8,2
6/29/1996 0:00:00,504,2,6,"Longfin Smelt",6,2
6/29/1996 0:00:00,504,3,1,"Longfin Smelt",1,2
6/29/1996 0:00:00,519,1,41,"Longfin Smelt",41,2
7/10/1996 0:00:00,508,2,2,"Longfin Smelt",2,2
7/10/1996 0:00:00,508,3,4,"Longfin Smelt",4,2
7/10/1996 0:00:00,513,1,4,"Longfin Smelt",4,2
7/10/1996 0:00:00,513,3,6,"Longfin Smelt",6,2
7/11/1996 0:00:00,418,1,25,"Longfin Smelt",25,2
7/11/1996 0:00:00,418,2,21,"Longfin Smelt",21,2
7/11/1996 0:00:00,418,3,8,"Longfin Smelt",8,2
7/11/1996 0:00:00,602,1,6,"Longfin Smelt",6,2
7/11/1996 0:00:00,602,2,4,"Longfin Smelt",4,2
7/11/1996 0:00:00,602,3,16,"Longfin Smelt",16,2
7/11/1996 0:00:00,610,1,2,"Longfin Smelt",2,2
7/11/1996 0:00:00,610,2,1,"Longfin Smelt",1,2
7/12/1996 0:00:00,340,1,3,"Longfin Smelt",3,2
7/12/1996 0:00:00,340,2,3,"Longfin Smelt",3,2
7/13/1996 0:00:00,405,1,3,"Longfin Smelt",3,2
7/13/1996 0:00:00,405,2,3,"Longfin Smelt",4,2
7/13/1996 0:00:00,405,3,2,"Longfin Smelt",2,2
7/13/1996 0:00:00,411,1,29,"Longfin Smelt",29,2
7/13/1996 0:00:00,411,2,6,"Longfin Smelt",6,2
7/13/1996 0:00:00,411,3,14,"Longfin Smelt",14,2
7/13/1996 0:00:00,504,1,11,"Longfin Smelt",11,2
7/13/1996 0:00:00,519,1,4,"Longfin Smelt",4,2
7/13/1996 0:00:00,519,2,9,"Longfin Smelt",9,2
7/13/1996 0:00:00,519,3,8,"Longfin Smelt",8,2
7/24/1996 0:00:00,508,2,3,"Longfin Smelt",3,2
7/24/1996 0:00:00,508,3,4,"Longfin Smelt",4,2
7/24/1996 0:00:00,513,1,2,"Longfin Smelt",2,2
7/24/1996 0:00:00,513,2,2,"Longfin Smelt",2,2
7/24/1996 0:00:00,513,3,4,"Longfin Smelt",4,2
7/24/1996 0:00:00,704,1,6,"Longfin Smelt",6,2
7/24/1996 0:00:00,704,2,3,"Longfin Smelt",3,2
7/24/1996 0:00:00,704,3,1,"Longfin Smelt",1,2
7/25/1996 0:00:00,418,1,3,"Longfin Smelt",3,2
7/25/1996 0:00:00,418,2,4,"Longfin Smelt",4,2
7/25/1996 0:00:00,418,3,1,"Longfin Smelt",1,2
7/25/1996 0:00:00,602,1,1,"Longfin Smelt",1,2
7/25/1996 0:00:00,602,2,6,"Longfin Smelt",6,2
7/25/1996 0:00:00,602,3,3,"Longfin Smelt",3,2
7/25/1996 0:00:00,606,2,1,"Longfin Smelt",1,2
7/25/1996 0:00:00,610,3,1,"Longfin Smelt",1,2
