"Station","Date","AnalyteName","Result"
"C10","11/15/1977","temp",15
"C10","11/15/1977","secchi",44
"C10","11/15/1977","Microcystis",NA
"C10","12/14/1977","chla",6.95
"C10","12/14/1977","temp",11
"C10","12/14/1977","secchi",50
"C10","12/14/1977","Microcystis",NA
"C10","1/11/1978","chla",16.06
"C10","1/11/1978","temp",13
"C10","1/11/1978","secchi",22
"C10","1/11/1978","Microcystis",NA
"C10","2/14/1978","chla",6.18
"C10","2/14/1978","temp",10
"C10","2/14/1978","secchi",16
"C10","2/14/1978","Microcystis",NA
"C10","3/14/1978","chla",13.59
"C10","3/14/1978","temp",15
"C10","3/14/1978","secchi",21
"C10","3/14/1978","Microcystis",NA
"C10","4/3/1978","chla",12.97
"C10","4/3/1978","temp",15
"C10","4/3/1978","secchi",NA
"C10","4/3/1978","Microcystis",NA
"C10","4/17/1978","chla",10.65
"C10","4/17/1978","temp",15
"C10","4/17/1978","secchi",33
"C10","4/17/1978","Microcystis",NA
"C10","5/1/1978","chla",2.16
"C10","5/1/1978","temp",18
"C10","5/1/1978","secchi",40
"C10","5/1/1978","Microcystis",NA
"C10","5/16/1978","chla",14.36
"C10","5/16/1978","temp",18
"C10","5/16/1978","secchi",28
"C10","5/16/1978","Microcystis",NA
"C10","6/12/1978","chla",14.2
"C10","6/12/1978","temp",21
"C10","6/12/1978","secchi",20
"C10","6/12/1978","Microcystis",NA
"C10","6/26/1978","chla",7.1
"C10","6/26/1978","temp",22
"C10","6/26/1978","secchi",25
"C10","6/26/1978","Microcystis",NA
"C10","7/10/1978","chla",28.41
"C10","7/10/1978","temp",25
"C10","7/10/1978","secchi",25
"C10","7/10/1978","Microcystis",NA
"C10","7/24/1978","chla",36.43
"C10","7/24/1978","temp",27
"C10","7/24/1978","secchi",24
"C10","7/24/1978","Microcystis",NA
"C10","8/8/1978","chla",51.87
"C10","8/8/1978","temp",28
"C10","8/8/1978","secchi",22
"C10","8/8/1978","Microcystis",NA
"C10","8/21/1978","chla",58.66
"C10","8/21/1978","temp",24
"C10","8/21/1978","secchi",22
"C10","8/21/1978","Microcystis",NA
"C10","9/11/1978","chla",27.79
"C10","9/11/1978","temp",21
"C10","9/11/1978","secchi",30
"C10","9/11/1978","Microcystis",NA
"C10","9/25/1978","chla",54.34
"C10","9/25/1978","temp",21
"C10","9/25/1978","secchi",NA
"C10","9/25/1978","Microcystis",NA
"C10","10/10/1978","chla",11.73
"C10","10/10/1978","temp",19
"C10","10/10/1978","secchi",41
"C10","10/10/1978","Microcystis",NA
"C10","10/23/1978","chla",7.9
"C10","10/23/1978","temp",16
"C10","10/23/1978","secchi",36
"C10","10/23/1978","Microcystis",NA
"C10","11/20/1978","chla",8.27
"C10","11/20/1978","temp",12
"C10","11/20/1978","secchi",56
"C10","11/20/1978","Microcystis",NA
"C10","12/4/1978","chla",12.04
"C10","12/4/1978","temp",10
"C10","12/4/1978","secchi",64
"C10","12/4/1978","Microcystis",NA
"C10","1/16/1979","chla",9.27
"C10","1/16/1979","temp",10
"C10","1/16/1979","secchi",22
"C10","1/16/1979","Microcystis",NA
"C10","2/15/1979","chla",4.02
"C10","2/15/1979","temp",11
"C10","2/15/1979","secchi",50
"C10","2/15/1979","Microcystis",NA
"C10","3/5/1979","chla",7.72
"C10","3/5/1979","temp",13
"C10","3/5/1979","secchi",46
"C10","3/5/1979","Microcystis",NA
"C10","3/19/1979","chla",6.18
"C10","3/19/1979","temp",12
"C10","3/19/1979","secchi",52
"C10","3/19/1979","Microcystis",NA
"C10","4/2/1979","chla",10.81
"C10","4/2/1979","temp",14
"C10","4/2/1979","secchi",33
"C10","4/2/1979","Microcystis",NA
"C10","4/17/1979","chla",28.1
"C10","4/17/1979","temp",17
"C10","4/17/1979","secchi",40
"C10","4/17/1979","Microcystis",NA
"C10","5/1/1979","chla",31.13
"C10","5/1/1979","temp",18
"C10","5/1/1979","secchi",30
"C10","5/1/1979","Microcystis",NA
"C10","5/21/1979","chla",45.08
"C10","5/21/1979","temp",21
"C10","5/21/1979","secchi",28
"C10","5/21/1979","Microcystis",NA
"C10","6/4/1979","chla",33.97
"C10","6/4/1979","temp",24
"C10","6/4/1979","secchi",28
"C10","6/4/1979","Microcystis",NA
"C10","6/18/1979","chla",40.14
"C10","6/18/1979","temp",22
"C10","6/18/1979","secchi",28
"C10","6/18/1979","Microcystis",NA
"C10","7/2/1979","chla",79.86
"C10","7/2/1979","temp",25
"C10","7/2/1979","secchi",32
"C10","7/2/1979","Microcystis",NA
"C10","7/16/1979","chla",NA
"C10","7/16/1979","temp",27
"C10","7/16/1979","secchi",22
"C10","7/16/1979","Microcystis",NA
"C10","8/13/1979","chla",47.43
"C10","8/13/1979","temp",25
"C10","8/13/1979","secchi",21
"C10","8/13/1979","Microcystis",NA
"C10","8/27/1979","chla",NA
"C10","8/27/1979","temp",24
"C10","8/27/1979","secchi",30
"C10","8/27/1979","Microcystis",NA
"C10","9/11/1979","chla",29.49
"C10","9/11/1979","temp",25
"C10","9/11/1979","secchi",28
"C10","9/11/1979","Microcystis",NA
"C10","9/24/1979","chla",13.44
"C10","9/24/1979","temp",22
"C10","9/24/1979","secchi",36
"C10","9/24/1979","Microcystis",NA
"C10","10/9/1979","chla",9.64
"C10","10/9/1979","temp",20
"C10","10/9/1979","secchi",36
"C10","10/9/1979","Microcystis",NA
"C10","10/22/1979","chla",NA
"C10","10/22/1979","temp",15
"C10","10/22/1979","secchi",40
"C10","10/22/1979","Microcystis",NA
"C10","11/26/1979","chla",5.72
"C10","11/26/1979","temp",12
"C10","11/26/1979","secchi",60
"C10","11/26/1979","Microcystis",NA
"C10","12/5/1979","chla",8.65
"C10","12/5/1979","temp",11
"C10","12/5/1979","secchi",64
"C10","12/5/1979","Microcystis",NA
"C10","2/6/1980","chla",2.78
"C10","2/6/1980","temp",11
"C10","2/6/1980","secchi",NA
"C10","2/6/1980","Microcystis",NA
"C10","3/10/1980","chla",13.13
"C10","3/10/1980","temp",14
"C10","3/10/1980","secchi",NA
"C10","3/10/1980","Microcystis",NA
"C10","3/24/1980","chla",12.97
"C10","3/24/1980","temp",13
"C10","3/24/1980","secchi",NA
"C10","3/24/1980","Microcystis",NA
"C10","4/7/1980","chla",9.42
"C10","4/7/1980","temp",13
"C10","4/7/1980","secchi",NA
"C10","4/7/1980","Microcystis",NA
"C10","4/21/1980","chla",17.6
"C10","4/21/1980","temp",15
"C10","4/21/1980","secchi",NA
"C10","4/21/1980","Microcystis",NA
"C10","5/5/1980","chla",14.21
"C10","5/5/1980","temp",18
"C10","5/5/1980","secchi",NA
"C10","5/5/1980","Microcystis",NA
"C10","5/19/1980","chla",23.01
"C10","5/19/1980","temp",21
"C10","5/19/1980","secchi",NA
"C10","5/19/1980","Microcystis",NA
"C10","6/3/1980","chla",14.36
"C10","6/3/1980","temp",17
"C10","6/3/1980","secchi",NA
"C10","6/3/1980","Microcystis",NA
"C10","6/17/1980","chla",29.18
"C10","6/17/1980","temp",22
"C10","6/17/1980","secchi",NA
"C10","6/17/1980","Microcystis",NA
"C10","7/1/1980","chla",NA
"C10","7/1/1980","temp",21
"C10","7/1/1980","secchi",NA
"C10","7/1/1980","Microcystis",NA
"C10","7/15/1980","chla",5.07
"C10","7/15/1980","temp",23
"C10","7/15/1980","secchi",NA
"C10","7/15/1980","Microcystis",NA
"C10","8/4/1980","chla",39.28
"C10","8/4/1980","temp",26
"C10","8/4/1980","secchi",NA
"C10","8/4/1980","Microcystis",NA
"C10","8/18/1980","chla",42
"C10","8/18/1980","temp",24
"C10","8/18/1980","secchi",NA
"C10","8/18/1980","Microcystis",NA
"C10","9/2/1980","chla",25.08
"C10","9/2/1980","temp",24
"C10","9/2/1980","secchi",NA
"C10","9/2/1980","Microcystis",NA
"C10","9/15/1980","chla",8.53
"C10","9/15/1980","temp",21
"C10","9/15/1980","secchi",NA
"C10","9/15/1980","Microcystis",NA
"C10","10/14/1980","chla",NA
"C10","10/14/1980","temp",16
"C10","10/14/1980","secchi",NA
"C10","10/14/1980","Microcystis",NA
"C10","10/27/1980","chla",1.61
"C10","10/27/1980","temp",15
"C10","10/27/1980","secchi",NA
"C10","10/27/1980","Microcystis",NA
"C10","11/12/1980","chla",6.06
"C10","11/12/1980","temp",14
"C10","11/12/1980","secchi",NA
"C10","11/12/1980","Microcystis",NA
"C10","12/10/1980","chla",3.34
"C10","12/10/1980","temp",9
"C10","12/10/1980","secchi",NA
"C10","12/10/1980","Microcystis",NA
"C10","1/8/1981","chla",NA
"C10","1/8/1981","temp",9
"C10","1/8/1981","secchi",NA
"C10","1/8/1981","Microcystis",NA
"C10","2/24/1981","chla",6.3
"C10","2/24/1981","temp",14
"C10","2/24/1981","secchi",NA
"C10","2/24/1981","Microcystis",NA
"C10","3/11/1981","chla",10.26
"C10","3/11/1981","temp",16
"C10","3/11/1981","secchi",NA
"C10","3/11/1981","Microcystis",NA
"C10","3/24/1981","chla",10.38
"C10","3/24/1981","temp",16
"C10","3/24/1981","secchi",NA
"C10","3/24/1981","Microcystis",NA
"C10","4/9/1981","chla",38.29
"C10","4/9/1981","temp",18
"C10","4/9/1981","secchi",NA
"C10","4/9/1981","Microcystis",NA
"C10","4/27/1981","chla",17.91
"C10","4/27/1981","temp",18
"C10","4/27/1981","secchi",NA
"C10","4/27/1981","Microcystis",NA
"C10","5/11/1981","chla",30.11
"C10","5/11/1981","temp",22
"C10","5/11/1981","secchi",NA
"C10","5/11/1981","Microcystis",NA
"C10","5/26/1981","chla",40.14
"C10","5/26/1981","temp",22
"C10","5/26/1981","secchi",NA
"C10","5/26/1981","Microcystis",NA
"C10","6/8/1981","chla",52.03
"C10","6/8/1981","temp",25
"C10","6/8/1981","secchi",NA
"C10","6/8/1981","Microcystis",NA
"C10","6/23/1981","chla",36.28
"C10","6/23/1981","temp",25
"C10","6/23/1981","secchi",NA
"C10","6/23/1981","Microcystis",NA
"C10","7/6/1981","chla",22.08
"C10","7/6/1981","temp",26
"C10","7/6/1981","secchi",NA
"C10","7/6/1981","Microcystis",NA
"C10","7/21/1981","chla",49.87
"C10","7/21/1981","temp",26
"C10","7/21/1981","secchi",NA
"C10","7/21/1981","Microcystis",NA
"C10","8/5/1981","chla",18.38
"C10","8/5/1981","temp",24
"C10","8/5/1981","secchi",NA
"C10","8/5/1981","Microcystis",NA
"C10","8/18/1981","chla",NA
"C10","8/18/1981","temp",23
"C10","8/18/1981","secchi",NA
"C10","8/18/1981","Microcystis",NA
"C10","9/1/1981","chla",28.87
"C10","9/1/1981","temp",24
"C10","9/1/1981","secchi",NA
"C10","9/1/1981","Microcystis",NA
"C10","9/15/1981","chla",20.85
"C10","9/15/1981","temp",22
"C10","9/15/1981","secchi",NA
"C10","9/15/1981","Microcystis",NA
"C10","10/5/1981","chla",17.45
"C10","10/5/1981","temp",20
"C10","10/5/1981","secchi",NA
"C10","10/5/1981","Microcystis",NA
"C10","10/19/1981","chla",9.58
"C10","10/19/1981","temp",18
"C10","10/19/1981","secchi",NA
"C10","10/19/1981","Microcystis",NA
"C10","11/16/1981","chla",16.68
"C10","11/16/1981","temp",16
"C10","11/16/1981","secchi",NA
"C10","11/16/1981","Microcystis",NA
"C10","12/14/1981","chla",4.64
"C10","12/14/1981","temp",13
"C10","12/14/1981","secchi",NA
"C10","12/14/1981","Microcystis",NA
"C10","1/27/1982","chla",3.09
"C10","1/27/1982","temp",9
"C10","1/27/1982","secchi",NA
"C10","1/27/1982","Microcystis",NA
"C10","2/10/1982","chla",3.4
"C10","2/10/1982","temp",10
"C10","2/10/1982","secchi",NA
"C10","2/10/1982","Microcystis",NA
"C10","3/1/1982","chla",5.56
"C10","3/1/1982","temp",11
"C10","3/1/1982","secchi",NA
"C10","3/1/1982","Microcystis",NA
"C10","3/15/1982","chla",5.87
"C10","3/15/1982","temp",12
"C10","3/15/1982","secchi",NA
"C10","3/15/1982","Microcystis",NA
"C10","4/13/1982","chla",9.26
"C10","4/13/1982","temp",15
"C10","4/13/1982","secchi",NA
"C10","4/13/1982","Microcystis",NA
"C10","5/17/1982","chla",6.49
"C10","5/17/1982","temp",18
"C10","5/17/1982","secchi",NA
"C10","5/17/1982","Microcystis",NA
"C10","6/14/1982","chla",12.04
"C10","6/14/1982","temp",20
"C10","6/14/1982","secchi",NA
"C10","6/14/1982","Microcystis",NA
"C10","6/28/1982","chla",18.22
"C10","6/28/1982","temp",20
"C10","6/28/1982","secchi",NA
"C10","6/28/1982","Microcystis",NA
"C10","7/12/1982","chla",20.22
"C10","7/12/1982","temp",22
"C10","7/12/1982","secchi",NA
"C10","7/12/1982","Microcystis",NA
"C10","7/26/1982","chla",15.13
"C10","7/26/1982","temp",22
"C10","7/26/1982","secchi",NA
"C10","7/26/1982","Microcystis",NA
"C10","8/9/1982","chla",16.83
"C10","8/9/1982","temp",22
"C10","8/9/1982","secchi",NA
"C10","8/9/1982","Microcystis",NA
"C10","8/25/1982","chla",8.65
"C10","8/25/1982","temp",22
"C10","8/25/1982","secchi",NA
"C10","8/25/1982","Microcystis",NA
"C10","9/7/1982","chla",10.96
"C10","9/7/1982","temp",22
"C10","9/7/1982","secchi",NA
"C10","9/7/1982","Microcystis",NA
"C10","9/20/1982","chla",4.17
"C10","9/20/1982","temp",17
"C10","9/20/1982","secchi",NA
"C10","9/20/1982","Microcystis",NA
"C10","10/5/1982","chla",3.55
"C10","10/5/1982","temp",15
"C10","10/5/1982","secchi",NA
"C10","10/5/1982","Microcystis",NA
"C10","10/19/1982","chla",4.48
"C10","10/19/1982","temp",15
"C10","10/19/1982","secchi",NA
"C10","10/19/1982","Microcystis",NA
"C10","11/4/1982","chla",3.86
"C10","11/4/1982","temp",14
"C10","11/4/1982","secchi",NA
"C10","11/4/1982","Microcystis",NA
"C10","12/2/1982","chla",8.8
"C10","12/2/1982","temp",11
"C10","12/2/1982","secchi",NA
"C10","12/2/1982","Microcystis",NA
"C10","1/3/1983","chla",1.7
"C10","1/3/1983","temp",7
"C10","1/3/1983","secchi",NA
"C10","1/3/1983","Microcystis",NA
"C10","2/3/1983","chla",1.54
"C10","2/3/1983","temp",11
"C10","2/3/1983","secchi",NA
"C10","2/3/1983","Microcystis",NA
"C10","3/21/1983","chla",3.71
"C10","3/21/1983","temp",13
"C10","3/21/1983","secchi",NA
"C10","3/21/1983","Microcystis",NA
"C10","5/2/1983","chla",9.73
"C10","5/2/1983","temp",16
"C10","5/2/1983","secchi",NA
"C10","5/2/1983","Microcystis",NA
"C10","6/14/1983","chla",6.33
"C10","6/14/1983","temp",20
"C10","6/14/1983","secchi",NA
"C10","6/14/1983","Microcystis",NA
"C10","7/14/1983","chla",4.32
"C10","7/14/1983","temp",23
"C10","7/14/1983","secchi",NA
"C10","7/14/1983","Microcystis",NA
"C10","8/15/1983","chla",8.18
"C10","8/15/1983","temp",21
"C10","8/15/1983","secchi",NA
"C10","8/15/1983","Microcystis",NA
"C10","9/26/1983","chla",2.93
"C10","9/26/1983","temp",19
"C10","9/26/1983","secchi",NA
"C10","9/26/1983","Microcystis",NA
"C10","10/11/1983","chla",5.71
"C10","10/11/1983","temp",19
"C10","10/11/1983","secchi",NA
"C10","10/11/1983","Microcystis",NA
"C10","11/7/1983","chla",6.79
"C10","11/7/1983","temp",15
"C10","11/7/1983","secchi",NA
"C10","11/7/1983","Microcystis",NA
"C10","12/7/1983","chla",4.01
"C10","12/7/1983","temp",10
"C10","12/7/1983","secchi",NA
"C10","12/7/1983","Microcystis",NA
"C10","1/23/1984","chla",5.4
"C10","1/23/1984","temp",10
"C10","1/23/1984","secchi",NA
"C10","1/23/1984","Microcystis",NA
"C10","2/7/1984","chla",4.79
"C10","2/7/1984","temp",11
"C10","2/7/1984","secchi",NA
"C10","2/7/1984","Microcystis",NA
"C10","3/8/1984","chla",6.79
"C10","3/8/1984","temp",13
"C10","3/8/1984","secchi",NA
"C10","3/8/1984","Microcystis",NA
"C10","4/9/1984","chla",19.3
"C10","4/9/1984","temp",16
"C10","4/9/1984","secchi",NA
"C10","4/9/1984","Microcystis",NA
"C10","5/7/1984","chla",37.67
"C10","5/7/1984","temp",18
"C10","5/7/1984","secchi",NA
"C10","5/7/1984","Microcystis",NA
"C10","6/4/1984","chla",31.03
"C10","6/4/1984","temp",20
"C10","6/4/1984","secchi",NA
"C10","6/4/1984","Microcystis",NA
"C10","7/5/1984","chla",43.53
"C10","7/5/1984","temp",27
"C10","7/5/1984","secchi",NA
"C10","7/5/1984","Microcystis",NA
"C10","7/17/1984","chla",32.73
"C10","7/17/1984","temp",28
"C10","7/17/1984","secchi",NA
"C10","7/17/1984","Microcystis",NA
"C10","8/2/1984","chla",25.01
"C10","8/2/1984","temp",24
"C10","8/2/1984","secchi",NA
"C10","8/2/1984","Microcystis",NA
"C10","8/16/1984","chla",25.47
"C10","8/16/1984","temp",23
"C10","8/16/1984","secchi",NA
"C10","8/16/1984","Microcystis",NA
"C10","9/13/1984","chla",18.06
"C10","9/13/1984","temp",23
"C10","9/13/1984","secchi",NA
"C10","9/13/1984","Microcystis",NA
"C10","9/27/1984","chla",23.93
"C10","9/27/1984","temp",20
"C10","9/27/1984","secchi",NA
"C10","9/27/1984","Microcystis",NA
"C10","10/15/1984","chla",8.49
"C10","10/15/1984","temp",16
"C10","10/15/1984","secchi",NA
"C10","10/15/1984","Microcystis",NA
"C10","11/27/1984","chla",5.87
"C10","11/27/1984","temp",11
"C10","11/27/1984","secchi",NA
"C10","11/27/1984","Microcystis",NA
"C10","12/12/1984","chla",2.78
"C10","12/12/1984","temp",12
"C10","12/12/1984","secchi",NA
"C10","12/12/1984","Microcystis",NA
"C10","1/9/1985","chla",2.47
"C10","1/9/1985","temp",11
"C10","1/9/1985","secchi",NA
"C10","1/9/1985","Microcystis",NA
"C10","2/11/1985","chla",10.03
"C10","2/11/1985","temp",10
"C10","2/11/1985","secchi",NA
"C10","2/11/1985","Microcystis",NA
"C10","3/12/1985","chla",15.59
"C10","3/12/1985","temp",14
"C10","3/12/1985","secchi",NA
"C10","3/12/1985","Microcystis",NA
"C10","3/28/1985","chla",19.45
"C10","3/28/1985","temp",12
"C10","3/28/1985","secchi",NA
"C10","3/28/1985","Microcystis",NA
"C10","4/11/1985","chla",25.47
"C10","4/11/1985","temp",18
"C10","4/11/1985","secchi",NA
"C10","4/11/1985","Microcystis",NA
"C10","4/25/1985","chla",4.94
"C10","4/25/1985","temp",15
"C10","4/25/1985","secchi",NA
"C10","4/25/1985","Microcystis",NA
"C10","5/9/1985","chla",15.13
"C10","5/9/1985","temp",17
"C10","5/9/1985","secchi",NA
"C10","5/9/1985","Microcystis",NA
"C10","5/23/1985","chla",19.45
"C10","5/23/1985","temp",NA
"C10","5/23/1985","secchi",NA
"C10","5/23/1985","Microcystis",NA
"C10","6/10/1985","chla",43.38
"C10","6/10/1985","temp",25
"C10","6/10/1985","secchi",NA
"C10","6/10/1985","Microcystis",NA
"C10","6/24/1985","chla",55.42
"C10","6/24/1985","temp",22
"C10","6/24/1985","secchi",NA
"C10","6/24/1985","Microcystis",NA
"C10","7/9/1985","chla",16.52
"C10","7/9/1985","temp",23
"C10","7/9/1985","secchi",NA
"C10","7/9/1985","Microcystis",NA
"C10","7/22/1985","chla",27.32
"C10","7/22/1985","temp",21
"C10","7/22/1985","secchi",NA
"C10","7/22/1985","Microcystis",NA
"C10","8/6/1985","chla",10.19
"C10","8/6/1985","temp",22
"C10","8/6/1985","secchi",NA
"C10","8/6/1985","Microcystis",NA
"C10","8/21/1985","chla",8.8
"C10","8/21/1985","temp",20
"C10","8/21/1985","secchi",NA
"C10","8/21/1985","Microcystis",NA
"C10","9/3/1985","chla",19.3
